pool_addr,APT,amAPT,USD1,USDT,USDC,goAPT,kAPT,RION,TAPP,WBTC,xBTC,aBTC,AMA,BUBBLE,APTDOG,WHIMSY,JET,stkAPT,PEPTOS,SANAPTOS,LCAT,PEACE
0x0 (vault),32786820863701,174619365153,2574032264049,1211484343122,1536238543469,0,19293812393584,2344328,0,9312410,8415899,4727059693,545853671560160,2822829467499648,451479324661868,195609687426604,0,108673244354,413194557840935,0,0,0
0xb5afb711ef141908e5a11c42aae6cb4b08ee4bcf1d5a9961cd882d52b53bd1ec,23143259012,170121753416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x76e7c1ad414f50274b371e51b7a272cf774c7027c2e4433b9f82ab47a6e5527b,N/A,N/A,2553830462980,1003515809487,1295356238725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x3004b3e808a2ab9e1589d60ebc2f6ac22ed42403764222cf3e91e891d0111545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xb98e96345d129a6d5775be1c4ef3753b740c8f3a4e1c9d6ea0a4ae2f5681ee61,8444341116948,N/A,N/A,N/A,N/A,N/A,19213974698137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x8f9dd0b94f1c18f96c00dfbff8254f20304f05713bb841d20b203f9446a75b9,11034744445979,N/A,N/A,163789600988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x4ed8fda291b604491ead0cc9e5232bc1edc1f31d0e0cf343be043d8c792af1a8,10934474855409,N/A,N/A,N/A,176132302702,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xd50dc4fe4995f10aaa9f4ecd5acb0f5f3713ac8715b217325c57bd52e623d0f5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x82e0b52f95ae57b35220726a32c3415919389aa5b8baa33a058d7125797535cc,N/A,N/A,N/A,51638617523,70832489879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x1967bf3d06eaa967c00d7535aacdc0fba2570820940b42a79ac34b3a7efe7072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
